=======================================================================================
#    | id       | Name                 | Type            | Display         | Abbrev    
=======================================================================================
0    | 149288   | sign_struct          | FT_NONE          |BASE_NONE       | dl.sign_struct
1    | 149289   | ptr_void             | FT_UINT32        |BASE_HEX        | dl.sign_struct.ptr_void
2    | 149290   | int_a                | FT_INT32         |BASE_DEC        | dl.sign_struct.int_a
3    | 149291   | uc_ver_maj           | FT_UINT8         |BASE_DEC_HEX    | dl.sign_struct.uc_ver_maj
4    | 149292   | uc_ver_min           | FT_UINT8         |BASE_DEC_HEX    | dl.sign_struct.uc_ver_min
5    | 149293   | ca_sign              | FT_STRINGZ       |BASE_NONE       | dl.sign_struct.ca_sign
6    | 149294   | HW_INFO              | FT_NONE          |BASE_NONE       | dl.HW_INFO
7    | 149295   | t_sign1              | FT_NONE          |BASE_NONE       | dl.HW_INFO.t_sign1
8    | 149296   | ptr_void             | FT_UINT32        |BASE_HEX        | dl.HW_INFO.t_sign1.ptr_void
9    | 149297   | int_a                | FT_INT32         |BASE_DEC        | dl.HW_INFO.t_sign1.int_a
10   | 149298   | uc_ver_maj           | FT_UINT8         |BASE_DEC_HEX    | dl.HW_INFO.t_sign1.uc_ver_maj
11   | 149299   | uc_ver_min           | FT_UINT8         |BASE_DEC_HEX    | dl.HW_INFO.t_sign1.uc_ver_min
12   | 149300   | ca_sign              | FT_STRINGZ       |BASE_NONE       | dl.HW_INFO.t_sign1.ca_sign
13   | 149301   | t_sign2              | FT_NONE          |BASE_NONE       | dl.HW_INFO.t_sign2
14   | 149302   | ptr_void             | FT_UINT32        |BASE_HEX        | dl.HW_INFO.t_sign2.ptr_void
15   | 149303   | int_a                | FT_INT32         |BASE_DEC        | dl.HW_INFO.t_sign2.int_a
16   | 149304   | uc_ver_maj           | FT_UINT8         |BASE_DEC_HEX    | dl.HW_INFO.t_sign2.uc_ver_maj
17   | 149305   | uc_ver_min           | FT_UINT8         |BASE_DEC_HEX    | dl.HW_INFO.t_sign2.uc_ver_min
18   | 149306   | ca_sign              | FT_STRINGZ       |BASE_NONE       | dl.HW_INFO.t_sign2.ca_sign
19   | 149307   | pf_led_func          | FT_UINT32        |BASE_HEX        | dl.HW_INFO.pf_led_func
20   | 149308   | reserved             | FT_NONE          |BASE_NONE       | dl.HW_INFO.reserved
